,,,,IRIS SPECIES (Classify iris plants into three species in this classic dataset),,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"The Iris dataset was used in R.A. Fisher's classic 1936 paper, The Use of Multiple Measurements in Taxonomic Problems, and can also be found on the UCI Machine Learning Repository. It includes three iris species with 50 samples each as well as some properties about each flower. One flower species is linearly separable from the other two, but the other two are not linearly separable from each other.

The columns in this dataset are:
Id, SepalLengthCm, SepalWidthCm, PetalLengthCm, PetalWidthCm, Species, Sepal Width vs. Sepal Length",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,,,,,,,,,
1,5.1,3.5,1.4,0.2,Iris-setosa,,,,,,,,,
2,4.9,3,1.4,0.2,Iris-setosa,,,,,,,,,
3,4.7,3.2,1.3,0.2,Iris-setosa,,,,,,,,,
4,4.6,3.1,1.5,0.2,Iris-setosa,,,,,,,,,
5,5,3.6,1.4,0.2,Iris-setosa,,,,,,,,,
6,5.4,3.9,1.7,0.4,Iris-setosa,,,,,,,,,
7,4.6,3.4,1.4,0.3,Iris-setosa,,,,,,,,,
8,5,3.4,1.5,0.2,Iris-setosa,,,,,,,,,
9,4.4,2.9,1.4,0.2,Iris-setosa,,,,,,,,,
10,4.9,3.1,1.5,0.1,Iris-setosa,,,,,,,,,
11,5.4,3.7,1.5,0.2,Iris-setosa,,,,,,,,,
12,4.8,3.4,1.6,0.2,Iris-setosa,,,,,,,,,
13,4.8,3,1.4,0.1,Iris-setosa,,,,,,,,,
14,4.3,3,1.1,0.1,Iris-setosa,,,,,,,,,
15,5.8,4,1.2,0.2,Iris-setosa,,,,,,,,,
16,5.7,4.4,1.5,0.4,Iris-setosa,,,,,,,,,
17,5.4,3.9,1.3,0.4,Iris-setosa,,,,,,,,,
18,5.1,3.5,1.4,0.3,Iris-setosa,,,,,,,,,
19,5.7,3.8,1.7,0.3,Iris-setosa,,,,,,,,,
20,5.1,3.8,1.5,0.3,Iris-setosa,,,,,,,,,
21,5.4,3.4,1.7,0.2,Iris-setosa,,,,,,,,,
22,5.1,3.7,1.5,0.4,Iris-setosa,,,,,,,,,
23,4.6,3.6,1,0.2,Iris-setosa,,,,,,,,,
24,5.1,3.3,1.7,0.5,Iris-setosa,,,,,,,,,
25,4.8,3.4,1.9,0.2,Iris-setosa,,,,,,,,,
26,5,3,1.6,0.2,Iris-setosa,,,,,,,,,
27,5,3.4,1.6,0.4,Iris-setosa,,,,,,,,,
28,5.2,3.5,1.5,0.2,Iris-setosa,,,,,,,,,
29,5.2,3.4,1.4,0.2,Iris-setosa,,,,,,,,,
30,4.7,3.2,1.6,0.2,Iris-setosa,,,,,,,,,
31,4.8,3.1,1.6,0.2,Iris-setosa,,,,,,,,,
32,5.4,3.4,1.5,0.4,Iris-setosa,,,,,,,,,
33,5.2,4.1,1.5,0.1,Iris-setosa,,,,,,,,,
34,5.5,4.2,1.4,0.2,Iris-setosa,,,,,,,,,
35,4.9,3.1,1.5,0.1,Iris-setosa,,,,,,,,,
36,5,3.2,1.2,0.2,Iris-setosa,,,,,,,,,
37,5.5,3.5,1.3,0.2,Iris-setosa,,,,,,,,,
38,4.9,3.1,1.5,0.1,Iris-setosa,,,,,,,,,
39,4.4,3,1.3,0.2,Iris-setosa,,,,,,,,,
40,5.1,3.4,1.5,0.2,Iris-setosa,,,,,,,,,
41,5,3.5,1.3,0.3,Iris-setosa,,,,,,,,,
42,4.5,2.3,1.3,0.3,Iris-setosa,,,,,,,,,
43,4.4,3.2,1.3,0.2,Iris-setosa,,,,,,,,,
44,5,3.5,1.6,0.6,Iris-setosa,,,,,,,,,
45,5.1,3.8,1.9,0.4,Iris-setosa,,,,,,,,,
46,4.8,3,1.4,0.3,Iris-setosa,,,,,,,,,
47,5.1,3.8,1.6,0.2,Iris-setosa,,,,,,,,,
48,4.6,3.2,1.4,0.2,Iris-setosa,,,,,,,,,
49,5.3,3.7,1.5,0.2,Iris-setosa,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Euclidean Distance,,10.4,5.6,2.9,,,,,,,,,,
,,,,,,,,,,,,,,
Manhattan Distance,,3.6,1.2,7.8,,,,,,,,,,
,,,,,,,,,,,,,,
Minkowski Distance,,2.5,8.9,3.7,,,,,,,,,,
